#mrk	kap	num	dos	ind	trd
d.0	do		oa_7	NULL	NULL
deci.0.MEZ	deci-		NULL	Dezi-	
decid.0a	decida		NULL	NULL	NULL
decid.0a.alportanta	decida	2	NULL	entscheidend	
decid.0a.esprimanta	decida	1	NULL	entschieden	
decid.0ema	decidema		NULL	entscheidungsfreudig	
decid.0ema.inklina	decidema		NULL	entscheidungsfreudig	
decid.0i	decidi		NULL	entscheiden	
decid.0i	decidi		NULL	entschließen	
decid.0i	decidi		NULL	beschließen	
decid.0i.fiksi	decidi		NULL	entscheiden	
decid.0i.fiksi	decidi		NULL	entschließen	
decid.0i.fiksi	decidi		NULL	beschließen	
decid.0igi	decidigi		NULL	Entscheidung	zur Entscheidung bringen
decid.0igi	decidigi		NULL	Entscheidung	einer Entscheidung zuführen
decid.0igi	decidigi		NULL	Entscheidung	eine Entscheidung fordern
decid.0igi.decidata	decidigi	2	NULL	Entscheidung	zur Entscheidung bringen
decid.0igi.decidata	decidigi	2	NULL	Entscheidung	einer Entscheidung zuführen
decid.0igi.decidata	decidigi	2	NULL	Entscheidung	eine Entscheidung fordern
decid.0igi.decidu	decidigi	1	NULL	Entscheidung	zur Entscheidung bringen
decid.0igi.decidu	decidigi	1	NULL	Entscheidung	einer Entscheidung zuführen
decid.0igi.decidu	decidigi	1	NULL	Entscheidung	eine Entscheidung fordern
decid.0igxi	decidiĝi		NULL	NULL	NULL
decid.0igxi.decidanta	decidiĝi	1	NULL	Entscheidung	zu einer Entscheidung kommen
decid.0igxi.decidanta	decidiĝi	1	NULL	Entschluss	zu einem Entschluss kommen
decid.0igxi.decidita	decidiĝi	2	NULL	entschieden werden	
decid.0igxi.decidita	decidiĝi	2	NULL	Entscheidung	zur Entscheidung kommen
decid.0o	decido		NULL	Entscheidung	
decid.0o	decido		NULL	Entscheid	
decid.0o	decido		NULL	Entschluss	
decid.0o	decido		NULL	Beschluss	
decid.0o.ago_rezulto	decido		NULL	Entscheidung	
decid.0o.ago_rezulto	decido		NULL	Entscheid	
decid.0o.ago_rezulto	decido		NULL	Entschluss	
decid.0o.ago_rezulto	decido		NULL	Beschluss	
decid.antaux0i	antaŭdecidi		NULL	NULL	NULL
decid.antaux0i.antauxe	antaŭdecidi	1	NULL	entscheiden	vorweg entscheiden
decid.antaux0i.antauxe	antaŭdecidi	1	NULL	beschließen	im Vorhinein beschließen
decid.antaux0i.porEstonteco	antaŭdecidi	2	NULL	vorentscheiden	
decid.antaux0i.porEstonteco	antaŭdecidi	2	NULL	beschließen	vorher beschließen
decid.for0i	fordecidi		NULL	Entscheidung	eine Entscheidung fallen lassen
decid.for0i	fordecidi		NULL	Entschluss	einen Entschluss aufgeben
decid.for0i	fordecidi		NULL	revidieren	eine Entscheidung revidieren
decid.for0i.rezigni	fordecidi		NULL	Entscheidung	eine Entscheidung fallen lassen
decid.for0i.rezigni	fordecidi		NULL	Entschluss	einen Entschluss aufgeben
decid.for0i.rezigni	fordecidi		NULL	revidieren	eine Entscheidung revidieren
decid.sen0a	sendecida		NULL	unentschieden	
decid.sen0a	nedecidema		NULL	unentschieden	
decid.sen0a	sendecida		NULL	unentschlossen	
decid.sen0a	nedecidema		NULL	unentschlossen	
decid.sen0a.ne_kapabla	sendecida		NULL	unentschieden	
decid.sen0a.ne_kapabla	nedecidema		NULL	unentschieden	
decid.sen0a.ne_kapabla	sendecida		NULL	unentschlossen	
decid.sen0a.ne_kapabla	nedecidema		NULL	unentschlossen	
decidu.0a	decidua		NULL	NULL	NULL
decidu.0a.falfolia	decidua		NULL	sommergrün	sommergrün (Baum)
decigr.0o	decigramo		oa_2	Dezigramm	
decili.0o	decilitro		oa_2	Deziliter	
decima.0a	decimala		oa_2	dezimal	
decima.0a.dekuma	decimala	2	oa_2	dezimal	
decima.0a.frakcio	decimala	1	oa_2	dezimal	
decima.0o	decimalo		NULL	Dezimale	
decime.0o	decimetro		oa_2	Dezimeter	
decxif.0i	deĉifri		NULL	entschlüsseln	
decxif.0i	deĉifri		NULL	dechiffrieren	
decxif.0i	deĉifri		NULL	entziffern	
dedeki.0o	Dedekindo		NULL	Dedekind	
dedeki.d0a	dedekinda		NULL	Dedekindsch	
dedicx.0i	dediĉi		NULL	NULL	NULL
dedicx.0i.destini	dediĉi	1	NULL	widmen	
dedicx.0i.destini	dediĉi	1	NULL	hingeben	
dedicx.0i.donaci	dediĉi	3	NULL	zueignen	
dedicx.0i.omagxe	dediĉi	2	NULL	widmen	
dedicx.0o	dediĉo		NULL	NULL	NULL
dedicx.0o.ado	dediĉo	1	NULL	Widmen	
dedicx.0o.donaca	dediĉo	3	NULL	NULL	NULL
dedicx.0o.omagxa	dediĉo	2	NULL	Widmung	
dedukt.0i	dedukti		NULL	folgern	
dedukt.0i	dedukti		NULL	schließen	
dedukt.0i	dedukti		NULL	herleiten	
dedukt.0i	dedukti		NULL	deduzieren	
dedukt.0i	dedukti		NULL	deduktiv	deduktiv schließen
dedukt.0i.LOG	dedukti		NULL	folgern	
dedukt.0i.LOG	dedukti		NULL	schließen	
dedukt.0i.LOG	dedukti		NULL	herleiten	
dedukt.0i.LOG	dedukti		NULL	deduzieren	
dedukt.0i.LOG	dedukti		NULL	deduktiv	deduktiv schließen
dedukt.0o	dedukto		NULL	Folgerung	
dedukt.0o	dedukto		NULL	Schlussfolgerung	
dedukt.0o	dedukto		NULL	Herleitung	
dedukt.0o	dedukto		NULL	Deduktion	
dedukt.0o.LOG	dedukto		NULL	Folgerung	
dedukt.0o.LOG	dedukto		NULL	Schlussfolgerung	
dedukt.0o.LOG	dedukto		NULL	Herleitung	
dedukt.0o.LOG	dedukto		NULL	Deduktion	
defauxlt.0o	defaŭlto		NULL	NULL	NULL
defauxlt.0o.KOMP	defaŭlto		NULL	NULL	NULL
defend.0ajxo	defendaĵo		NULL	Schutz	
defend.0ajxo.MIL	defendaĵo		NULL	Schutz	
defend.0i	defendi		NULL	verteidigen	
defend.0i	defendi		NULL	abwehren	
defend.0i.KOMUNE	defendi		NULL	verteidigen	
defend.0i.KOMUNE	defendi		NULL	abwehren	
defend.0o	defendo		NULL	Verteidigung	
defend.0o	defendo		NULL	Abwehr	
defend.0o.KOMUNE	defendo		NULL	Verteidigung	
defend.0o.KOMUNE	defendo		NULL	Abwehr	
defend.cxirkaux0i	ĉirkaŭdefendi		NULL	NULL	NULL
defend.cxirkaux0i.KOMUNE	ĉirkaŭdefendi		NULL	NULL	NULL
defend.sen0a	sendefenda		NULL	wehrlos	
defend.sen0a.KOMUNE	sendefenda		NULL	wehrlos	
defend.sin0o	sindefendo		NULL	Selbstverteidigung	
defend.sin0o	sindefendo		NULL	Selbstschutz	
defend.sin0o.KOMUNE	sindefendo		NULL	Selbstverteidigung	
defend.sin0o.KOMUNE	sindefendo		NULL	Selbstschutz	
defens.0o	defensivo		NULL	Defensive	
defens.0o	defensivo		NULL	Verteidigung	
defens.0o.MIL	defensivo		NULL	Defensive	
defens.0o.MIL	defensivo		NULL	Verteidigung	
defetism.0o	defetismo		NULL	Defätismus	
defetism.0o.PSI	defetismo		NULL	Defätismus	
defi.0i	defii		oa_9	herausfordern	
defi.0i	defii		oa_9	trotzen	
defi.0i	defii		oa_9	Stirn	die Stirn bieten
defici.0a	deficita		NULL	NULL	NULL
defici.0o	deficito		NULL	Defizit	
defici.0o	deficito		NULL	Fehlbetrag	
defici.0o	deficito		NULL	Unterdeckung	
defil.0i	defili		NULL	NULL	NULL
defil.0i.MIL	defili	1	NULL	defilieren	
defil.0i.MIL	defili	1	NULL	vorbeimarschieren	
defil.0i.modo	defili	2	NULL	NULL	NULL
defini.0a	definitiva		NULL	endgütig	
defini.0a	definitiva		NULL	abschließend	
defini.0a	definitiva		NULL	unwiderruflich	
defini.0a	definitiva		NULL	definitiv	
defini.0a.KOMUNE	definitiva		NULL	endgütig	
defini.0a.KOMUNE	definitiva		NULL	abschließend	
defini.0a.KOMUNE	definitiva		NULL	unwiderruflich	
defini.0a.KOMUNE	definitiva		NULL	definitiv	
defini.0igi	definitivigi		NULL	abschließen	
defini.0igi	definitivigi		NULL	fixieren	
defini.0igi.KOMUNE	definitivigi		NULL	abschließen	
defini.0igi.KOMUNE	definitivigi		NULL	fixieren	
defini.0o	definitivo		NULL	Endgültigkeit	
defini.0o	definitiveco		NULL	Endgültigkeit	
defini.0o	definitivo		NULL	Unwideruflichkeit	
defini.0o	definitiveco		NULL	Unwideruflichkeit	
defini.0o.KOMUNE	definitivo		NULL	Endgültigkeit	
defini.0o.KOMUNE	definitiveco		NULL	Endgültigkeit	
defini.0o.KOMUNE	definitivo		NULL	Unwideruflichkeit	
defini.0o.KOMUNE	definitiveco		NULL	Unwideruflichkeit	
deflac.0o	deflacio		NULL	Geldverknappung	
deflac.0o	deflacio		NULL	Aufwertung	
deflac.0o	deflacio		NULL	Deflation	
degel.0i	degeli		NULL	NULL	NULL
degel.0i.FIG	degeli	2	NULL	auflösen	sich auflösen
degel.0i.malglaciigxi	degeli	1	NULL	tauen	
degel.0i.malglaciigxi	degeli	1	NULL	auftauen	
degel.0i.malglaciigxi	degeli	1	NULL	schmelzen	
degel.0o	degelo		NULL	NULL	NULL
degel.0o.MET	degelo		NULL	NULL	NULL
degene.0i	degeneri		NULL	degenerieren	
degene.0i	degeneri		NULL	entarten	
degene.0i	degeneri		NULL	verfallen	
degene.0i.KOMUNE	degeneri		NULL	degenerieren	
degene.0i.KOMUNE	degeneri		NULL	entarten	
degene.0i.KOMUNE	degeneri		NULL	verfallen	
degene.0igi	degenerigi		NULL	pervertieren	
degene.0igi.KOMUNE	degenerigi		NULL	pervertieren	
degene.0o	degenero		NULL	Degeneration	
degene.0o	degenero		NULL	Verfall	
degene.0o.KOMUNE	degenero		NULL	Degeneration	
degene.0o.KOMUNE	degenero		NULL	Verfall	
degn.0i	degni		NULL	NULL	NULL
degn.0i.KOMUNE	degni		NULL	NULL	NULL
degrad.0i	degradi		NULL	NULL	NULL
degrad.0i.FIG	degradi	2	NULL	NULL	NULL
degrad.0i.rango	degradi	1	NULL	degradieren	
degrad.0i.rango	degradi	1	NULL	herabsetzen	
degrad.0i.rango	degradi	1	NULL	zurückstufen	
dehisk.0ado	dehiskado		NULL	Aufplatzen	
dehisk.0ado	dehisko		NULL	Aufplatzen	
dehisk.0ado	dehiskado		NULL	Aufspringen	
dehisk.0ado	dehisko		NULL	Aufspringen	
dehisk.0ado.BOT	dehiskado		NULL	Aufplatzen	
dehisk.0ado.BOT	dehisko		NULL	Aufplatzen	
dehisk.0ado.BOT	dehiskado		NULL	Aufspringen	
dehisk.0ado.BOT	dehisko		NULL	Aufspringen	
dehisk.0i	dehiski		NULL	aufplatzen	
dehisk.0i	dehiski		NULL	aufspringen	
dehisk.0i.BOT	dehiski		NULL	aufplatzen	
dehisk.0i.BOT	dehiski		NULL	aufspringen	
deikt.0o	deikto		NULL	NULL	NULL
deikt.0o.LIN	deikto		NULL	NULL	NULL
deism.0o	deismo		NULL	Deismus	
deism.0o	deismo		NULL	Gottglaube	
dejm.0o	Dejmo		NULL	Deimos	
dejm.0o.AST	Dejmo		NULL	Deimos	
dejxor.0i	deĵori		NULL	Dienst tun	
dejxor.0i	deĵori		NULL	dienen	
dejxor.0o	deĵoro		NULL	Dienstzeit	
dejxor.0o	deĵoro		NULL	Dienst	
dek.0e	deke		NULL	zehntens	
dek.0e.KAL	deke		NULL	zehntens	
dek.0onajxo	dekonaĵo		NULL	Zehnter	
dek.0onajxo	dekonimposto		NULL	Zehnter	
dek.0onajxo.EKON	dekonaĵo		NULL	Zehnter	
dek.0onajxo.EKON	dekonimposto		NULL	Zehnter	
dek.0ono	dekono		NULL	Zehntel	
dek.0umi	dekumi		NULL	dezimieren	
dek.0umi.MIL	dekumi		NULL	dezimieren	
dek.jar0o	jardeko		NULL	Jahrzehnt	
dek.jar0o	jardeko		NULL	Dekade	
dek.jar0o.KAL	jardeko		NULL	Jahrzehnt	
dek.jar0o.KAL	jardeko		NULL	Dekade	
deka.0	deka-		NULL	Deka-	
deka.0.MEZ	deka-		NULL	Deka-	
dekad.0o	dekado		NULL	Dekade	Dekade (zehn Tage)
dekad.0o.KAL	dekado		NULL	Dekade	Dekade (zehn Tage)
dekade.0i	dekadenci		NULL	dekadent sein	
dekade.0i	dekadenci		NULL	dekadent werden	
dekade.0i	dekadenci		NULL	verfallen	
dekade.0i	dekadenci		NULL	absteigen	
dekade.0i	dekadenci		NULL	herunterkommen	
dekade.0i.KOMUNE	dekadenci		NULL	dekadent sein	
dekade.0i.KOMUNE	dekadenci		NULL	dekadent werden	
dekade.0i.KOMUNE	dekadenci		NULL	verfallen	
dekade.0i.KOMUNE	dekadenci		NULL	absteigen	
dekade.0i.KOMUNE	dekadenci		NULL	herunterkommen	
dekade.0igi	dekadencigi		NULL	NULL	NULL
dekade.0igi.KOMUNE	dekadencigi		NULL	NULL	NULL
dekade.0ismo	dekadencismo		NULL	Fin de Siècle	
dekade.0ismo.BELA	dekadencismo		NULL	Fin de Siècle	
dekade.0o	dekadenco		NULL	Dekadenz	
dekade.0o	dekadenco		NULL	Verfall	
dekade.0o	dekadenco		NULL	Niedergang	
dekade.0o	dekadenco		NULL	Entartung	geistige Entartung
dekade.0o.KOMUNE	dekadenco		NULL	Dekadenz	
dekade.0o.KOMUNE	dekadenco		NULL	Verfall	
dekade.0o.KOMUNE	dekadenco		NULL	Niedergang	
dekade.0o.KOMUNE	dekadenco		NULL	Entartung	geistige Entartung
dekagr.0o	dekagramo		oa_2	Dekagramm	
dekali.0o	dekalitro		oa_2	Dekaliter	
dekalo.0o	dekalogo		NULL	Dekalog	
dekalo.0o	dekalogo		NULL	Zehn Gebote	
dekalo.0o.BIB	dekalogo		NULL	Dekalog	
dekalo.0o.BIB	dekalogo		NULL	Zehn Gebote	
dekame.0o	dekametro		oa_2	Dekameter	
dekame.0o	dekametro		oa_2	Meter	zehn Meter
dekameron.0o	Dekamerono		NULL	Dekameron	
dekameron.0o.novelaro	Dekamerono		NULL	Dekameron	
dekan.0o	dekano		NULL	Dekan	
dekan.0o.KRI	dekano	2	NULL	Dekan	
dekan.0o.KRI	dekano	2	NULL	Dekan	
dekan.0o.PED	dekano	1	NULL	Dekan	
dekan.0o.PED	dekano	1	NULL	Dekan	
dekant.0i	dekanti		NULL	dekantieren	
dekant.0i	dekanti		NULL	abgießen	
deklam.0ajxo	deklamaĵo		NULL	Deklamation	
deklam.0ajxo	deklamaĵo		NULL	Vortrag	Vortrag (Text, Verse)
deklam.0i	deklami		NULL	beschwören	
deklam.0i	deklami		NULL	große Worte machen	
deklam.0i.POE	deklami	1	NULL	deklamieren	
deklam.0i.POE	deklami	1	NULL	vortragen	
deklam.0i.POE	deklami	1	NULL	aufsagen	
deklam.0i.POE	deklami	1	NULL	rezitieren	
deklam.0i.POE	deklami	1	NULL	beschwören	
deklam.0i.POE	deklami	1	NULL	große Worte machen	
deklam.0isto	deklamisto		NULL	Vortragender	
deklam.0isto	deklamisto		NULL	Vorleser	
deklam.0isto	deklamisto		NULL	Rezitator	
deklam.0isto	deklamisto		NULL	Deklamator	
deklam.0isto.POE	deklamisto		NULL	Vortragender	
deklam.0isto.POE	deklamisto		NULL	Vorleser	
deklam.0isto.POE	deklamisto		NULL	Rezitator	
deklam.0isto.POE	deklamisto		NULL	Deklamator	
deklam.ekspon0i	ekspondeklami		NULL	anpreisen	
deklar.0i	deklari		NULL	erklären	
deklar.0i	deklari		NULL	verkünden	
deklar.0i	deklari		NULL	bekannt machen	
deklar.0i	deklari		NULL	bekannt geben	
deklar.0i.KOMUNE	deklari		NULL	erklären	
deklar.0i.KOMUNE	deklari		NULL	verkünden	
deklar.0i.KOMUNE	deklari		NULL	bekannt machen	
deklar.0i.KOMUNE	deklari		NULL	bekannt geben	
deklar.0o	deklaro		NULL	NULL	NULL
deklar.0o.KOMP	deklaro	2	NULL	Festlegung	
deklar.0o.KOMP	deklaro	2	NULL	Deklarierung	
deklar.0o.KOMP	deklaro	2	NULL	Deklaration	
deklar.0o.KOMUNE	deklaro	1	NULL	Erklärung	
deklar.0o.KOMUNE	deklaro	1	NULL	Verkündung	
deklar.0o.KOMUNE	deklaro	1	NULL	Deklaration	
deklar.am0o	amdeklaro		NULL	NULL	NULL
deklar.am0o.KOMUNE	amdeklaro		NULL	Liebeserklärung	
deklar.am0o.KOMUNE	amdeklaro		NULL	Liebesgeständnis	
deklar.milit0o	militdeklaro		NULL	Kriegserklärung	
deklar.milit0o.MIL	militdeklaro		NULL	Kriegserklärung	
deklar1.0o	deklaracio		NULL	Erklärung	
deklar1.0o	deklaracio		NULL	Verkündung	
deklar1.0o	deklaracio		NULL	Deklaration	
deklar1.0o.deklaro	deklaracio		NULL	Erklärung	
deklar1.0o.deklaro	deklaracio		NULL	Verkündung	
deklar1.0o.deklaro	deklaracio		NULL	Deklaration	
deklin.0i	deklinacii		NULL	durchdeklinieren	
deklin.0i.LIN	deklinacii		NULL	durchdeklinieren	
deklin.0o	deklinacio		NULL	Deklination	
deklin.0o	deklinacio		NULL	Beugung	
deklin.0o.LIN	deklinacio		NULL	Deklination	
deklin.0o.LIN	deklinacio		NULL	Beugung	
dekliv.0a	dekliva		NULL	geneigt	
dekliv.0a	dekliva		NULL	schräg	
dekliv.0a	dekliva		NULL	abschüssig	
dekliv.0i	deklivi		NULL	schräg	schräg verlaufen
dekliv.0i	deklivi		NULL	neigen	sich neigen
dekliv.0i.KOMUNE	deklivi		NULL	schräg	schräg verlaufen
dekliv.0i.KOMUNE	deklivi		NULL	neigen	sich neigen
dekliv.0o	deklivo		NULL	Abhang	
dekliv.0o	deklivo		NULL	Abhang	
dekliv.0o	deklivo		NULL	Hang	
dekliv.0o	deklivo		NULL	Gefälle	
dekliv.0o	deklivo		NULL	Neigung	
dekliv.0o.KOMUNE	deklivo		NULL	Abhang	
dekliv.0o.KOMUNE	deklivo		NULL	Abhang	
dekliv.0o.KOMUNE	deklivo		NULL	Hang	
dekliv.0o.KOMUNE	deklivo		NULL	Gefälle	
dekliv.0o.KOMUNE	deklivo		NULL	Neigung	
dekokt.0ajxo	dekoktaĵo		NULL	Sud	
dekokt.0ajxo	dekokto		NULL	Sud	
dekokt.0ajxo	dekoktaĵo		NULL	Auszug	
dekokt.0ajxo	dekokto		NULL	Auszug	
dekokt.0ajxo.MED	dekoktaĵo		NULL	Sud	
dekokt.0ajxo.MED	dekokto		NULL	Sud	
dekokt.0ajxo.MED	dekoktaĵo		NULL	Auszug	
dekokt.0ajxo.MED	dekokto		NULL	Auszug	
dekokt.0i	dekokti		NULL	auskochen	
dekokt.0i	dekokti		NULL	absieden	
dekokt.0i.MED	dekokti		NULL	auskochen	
dekokt.0i.MED	dekokti		NULL	absieden	
dekolt.0ajxo	dekoltaĵo		NULL	Halsausschnitt	
dekolt.0ajxo	dekoltaĵo		NULL	Ausschnitt	Ausschnitt (Kleid)
dekolt.0i	dekolti		NULL	NULL	NULL
dekolt.0ita	dekoltita		NULL	ausgeschnitten	ausgeschnitten (Kleid)
dekor.0ajxo	dekoraĵo		NULL	Schmuckstück	
dekor.0ajxo.io	dekoraĵo		NULL	Schmuckstück	
dekor.0i	dekori		NULL	schmücken	
dekor.0i	dekori		NULL	verzieren	
dekor.0i	dekori		NULL	dekorieren	
dekor.0i.dekoracii	dekori		NULL	schmücken	
dekor.0i.dekoracii	dekori		NULL	verzieren	
dekor.0i.dekoracii	dekori		NULL	dekorieren	
dekor.0o	dekoro		NULL	Dekoration	
dekor.0o	dekoro		NULL	Schmuck	
dekor.0o.BELA	dekoro		NULL	Dekoration	
dekor.0o.BELA	dekoro		NULL	Schmuck	
dekora.0i	dekoracii		NULL	schmücken	
dekora.0i	dekoracii		NULL	verzieren	
dekora.0i	dekoracii		NULL	dekorieren	
dekora.0i.KOMUNE	dekoracii		NULL	schmücken	
dekora.0i.KOMUNE	dekoracii		NULL	verzieren	
dekora.0i.KOMUNE	dekoracii		NULL	dekorieren	
dekora.0isto	dekoraciisto		NULL	NULL	NULL
dekora.0isto.ARKI	dekoraciisto		NULL	NULL	NULL
dekora.0o	dekoracio		NULL	NULL	NULL
dekora.0o.TEA	dekoracio	2	NULL	Dekor	
dekora.0o.TEA	dekoracio	2	NULL	Dekoration	
dekora.0o.TEA	dekoracio	2	NULL	Theaterdekoration	
dekora.0o.TEA	dekoracio	2	NULL	Kulissen	
dekora.0o.ordeninsigno	dekoracio	3	NULL	NULL	NULL
dekora.0o.ornamajxo	dekoracio	1	NULL	Dekoration	
dekora.0o.ornamajxo	dekoracio	1	NULL	Zier	
dekora.0o.ornamajxo	dekoracio	1	NULL	Zierrat	
dekora.0o.ornamajxo	dekoracio	1	NULL	Dekor	
dekora.0o.ornamajxo	dekoracio	1	NULL	Schmuck	
dekrem.0o	dekremento		NULL	Dekrement	
dekrem.logaritma0o	logaritma dekremento		NULL	Dekrement	logarithmisches Dekrement
dekret.0i	dekreti		NULL	erlassen	
dekret.0i	dekreti		NULL	verordnen	
dekret.0i	dekreti		NULL	verfügen	
dekret.0i	dekreti		NULL	dekretieren [arkaika]	
dekret.0o	dekreto		NULL	Erlass	
dekret.0o	dekreto		NULL	Verordnung	
dekret.0o	dekreto		NULL	Verfügung	
dekret.0o	dekreto		NULL	Dekret [arkaika]	
dekstr.0ano	dekstrano		NULL	Rechter	
dekstr.0ano.dekstrulo	dekstrano		NULL	Rechter	
dekstr.0e	dekstre		NULL	rechts	
dekstr.0e	dekstre		NULL	rechterhand	
dekstr.0e.MOV	dekstre		NULL	rechts	
dekstr.0e.MOV	dekstre		NULL	rechterhand	
dekstr.0ede	dekstre de		NULL	rechts	rechts von
dekstr.0ede.KOMUNE	dekstre de		NULL	rechts	rechts von
dekstr.0o	dekstro		NULL	Rechte	die Rechte
dekstr.0o.POL	dekstro	2	NULL	Rechte	die Rechte
dekstr.0o.flanko	dekstro	1	NULL	Rechte	die Rechte
dekstr.0ulo	dekstrulo		NULL	NULL	NULL
dekstr.0ulo.MOV	dekstrulo	1	NULL	Rechtshänder	
dekstr.0ulo.POL	dekstrulo	2	NULL	Rechter	
dekstr.0uma	dekstruma		NULL	NULL	NULL
dekstr.0uma.KOMUNE	dekstruma	1	NULL	NULL	NULL
dekstr.0uma.SCI	dekstruma	2	NULL	rechtsdrehend	
dekstr.0uma.bazo	dekstruma	3	NULL	Rechts-	Rechts-(system)
dekstr.0uma.bazo	dekstruma	3	NULL	positiv orientiert	positiv orientiert (-e Basis)
dekstr.mal0e	maldekstre		NULL	links	
dekstr.mal0e	maldekstre		NULL	linkerhand	
dekstr.mal0e.MOV	maldekstre		NULL	links	
dekstr.mal0e.MOV	maldekstre		NULL	linkerhand	
dekstr.mal0ede	maldekstre de		NULL	links von	
dekstr.mal0ede.KOMUNE	maldekstre de		NULL	links von	
dekstr.mal0o	maldekstro		NULL	Linke	die Linke
dekstr.mal0o.POL	maldekstro	2	NULL	Linke	die Linke
dekstr.mal0o.flanko	maldekstro	1	NULL	Linke	die Linke
dekstr.mal0ulo	maldekstrulo		NULL	NULL	NULL
dekstr.mal0ulo.MOV	maldekstrulo	1	NULL	Linkshänder	
dekstr.mal0ulo.POL	maldekstrulo	2	NULL	Linker	
dekstr.mal0uma	maldekstruma		NULL	NULL	NULL
dekstr.mal0uma.KOMUNE	maldekstruma	1	NULL	NULL	NULL
dekstr.mal0uma.SCI	maldekstruma	2	NULL	NULL	NULL
dekstr.mal0uma.bazo	maldekstruma	3	NULL	Links-	Links-(system)
dekstr.mal0uma.bazo	maldekstruma	3	NULL	negativ orientiert	negativ orientiert (-e Basis)
dekstr1.0o	dekstrino		NULL	Dextrin	
dekstr1.0o.KEM	dekstrino		NULL	Dextrin	
dekt.0o	dekto		NULL	Dezime	
dekt.0o.de_toniko	dekto	2	NULL	Dezime	
dekt.0o.intervalo	dekto	1	NULL	Dezime	
delavar.0o	Delavaro		NULL	NULL	NULL
delavar.0o.GEOG_rivero	Delavaro	1	NULL	NULL	NULL
delavar.0o.GEOG_sxtato	Delavaro	2	NULL	NULL	NULL
deleg.0ato	delegato		NULL	NULL	NULL
deleg.0i	delegi		NULL	delegieren	
deleg.0i	delegi		NULL	abordnen	
deleg.0itaro	delegitaro		NULL	NULL	NULL
deleg.0ito	delegito		NULL	Stellvertreter	
deleg.0ito	delegito		NULL	Abgeordneter [en la parlamento]	
deleg.D0itaro	Delegitaro		NULL	NULL	NULL
delega.0o	delegacio		NULL	Abordnung	
delega.0o	delegacio		NULL	Delegation	
delega.D0o	Delegacio		NULL	NULL	NULL
delekt.0i	delekti		NULL	erfreuen	
delekt.0i	delekti		NULL	ergötzen	
delekt.0i	delekti		NULL	entzücken	
delekt.0i	delekti		NULL	vergnügen	
delekt.0i.plezurigi	delekti		NULL	erfreuen	
delekt.0i.plezurigi	delekti		NULL	ergötzen	
delekt.0i.plezurigi	delekti		NULL	entzücken	
delekt.0i.plezurigi	delekti		NULL	vergnügen	
delekt.0inda	delektinda		NULL	NULL	NULL
delekt.0inda.KOMUNE	delektinda		NULL	NULL	NULL
delfen.0o	delfeno		NULL	Delphin	
delfen.0o.KOMUNE	delfeno	1	NULL	Zahnwal	
delfen.0o.KOMUNE	delfeno	1	NULL	Delphin	
delfen.0o.ZOO	delfeno	2	NULL	Delphin	
delfen.D0o	Delfeno		NULL	NULL	NULL
delfen.D0o.AST	Delfeno		NULL	Delfin	
delfen.river0o	riverdelfeno		NULL	NULL	NULL
delfen.river0o.ZOO	riverdelfeno		NULL	Flussdelfin	
delfen1.0oj	delfenedoj		NULL	Delphine	Delphine (Familie)
delfin.0o	delfinio		NULL	Rittersporn	
delfin.0o.BOT	delfinio		NULL	Rittersporn	
delhi.0o	Delhio		NULL	Delhi	
delhi.0o	Delio		NULL	Delhi	
delhi.Nov0o	Nov-Delhio		NULL	Neu-Delhi	
delhi.Nov0o	Nov-Delio		NULL	Neu-Delhi	
delic.0a	delica		NULL	wohlig	
delic.0a	delica		NULL	wonnig	
delic.0a	delica		NULL	sinnlich	
delic.0a	delica		NULL	deliziös	
delic.0a.esprimanta	delica	2	NULL	wohlig	
delic.0a.esprimanta	delica	2	NULL	wonnig	
delic.0a.esprimanta	delica	2	NULL	sinnlich	
delic.0a.esprimanta	delica	2	NULL	deliziös	
delic.0a.kauxzanta	delica	1	NULL	wohlig	
delic.0a.kauxzanta	delica	1	NULL	wonnig	
delic.0a.kauxzanta	delica	1	NULL	sinnlich	
delic.0a.kauxzanta	delica	1	NULL	deliziös	
delic.0o	delico		NULL	Wonne	
delic.0o	delico		NULL	Wollust	
delic.0o	delico		NULL	Genuss	
delic.0o	delico		NULL	Sinneslust	
delic.0o	delico		NULL	Vergnügen	sinnliches Vergnügen
delika.0a	delikata		NULL	NULL	NULL
delika.0a.io	delikata	1	NULL	sanft	
delika.0a.iu	delikata	2	NULL	empfindlich	
delika.0a.iu	delikata	2	NULL	leicht erregbar	
delika.0ajxo	delikataĵo		NULL	Zartes	
delika.0ajxo	delikataĵo		NULL	Feines	
delika.0ajxo.KOMUNE	delikataĵo		NULL	Zartes	
delika.0ajxo.KOMUNE	delikataĵo		NULL	Feines	
delika.0e	delikate		NULL	NULL	NULL
delika.0e.lukse	delikate	4	NULL	NULL	NULL
delika.0e.nekrude	delikate	1	NULL	NULL	NULL
delika.0e.subtile	delikate	2	NULL	NULL	NULL
delika.0e.taktoplene	delikate	3	NULL	NULL	NULL
delika.mal0a	maldelikata		NULL	NULL	NULL
delika.mal0a.io	maldelikata	1	NULL	NULL	NULL
delika.mal0a.iu	maldelikata	2	NULL	NULL	NULL
delika.mal0e	maldelikate		NULL	NULL	NULL
delika.mal0e.KOMUNE	maldelikate		NULL	NULL	NULL
delika.mal0ulo	maldelikatulo		NULL	NULL	NULL
