# mrk;kap;num;dos
aflikt.0igxo;afliktiĝo;;NULL
aflikt.0igxo.PSI;afliktiĝo;;NULL
aflikt.0o;aflikto;;NULL
aflikt.0o.PSI;aflikto;;NULL
afrank.0o;afranko;;NULL
afrik.OkcidentA0o;Okcident-Afriko;;NULL
afrik.OkcidentA0o.GEOG;Okcident-Afriko;;NULL
afrodit.0o;Afrodito;;NULL
ag.0ema;agema;;NULL
ag.0ema.KOMUNE;agema;;NULL
ag.inter0i;interagi;;NULL
ag.inter0i.KOMUNE;interagi;;NULL
ag.kontraux0o;kontraŭago;;NULL
ag.kontraux0o.KOMUNE;kontraŭago;;NULL
ag.kun0o;kunago;;NULL
ag.kun0o.KOMUNE;kunago;;NULL
ag.mis0i;misagi;;NULL
ag.mis0i;malbonagi;;NULL
ag.trans0o;transago;;NULL
ag.trans0o.KOMP;transago;2;NULL
aga.0o;agao;;NULL
aga.0o.HIS;agao;;NULL
agac.0a;agaca;;NULL
agac.0i;agaci;;NULL
agac.0o;agaco;;NULL
agac.0o.FIZL;agaco;;NULL
agatid.0o;agatido;;NULL
agatid.0o.BOT;agatido;;NULL
agent.duobla0o;duobla agento;;NULL
agent.duobla0o.MIL;duobla agento;;NULL
agent.sekreta0o;sekreta agento;;NULL
agent.sekreta0o.MIL;sekreta agento;;NULL
agit.0ado;agitado;;NULL
agit.0ado.KOMUNE;agitado;;NULL
agit.0igxi;agitiĝi;;NULL
agit.0igxi.KOMUNE;agitiĝi;;NULL
agit.0igxo;agitiĝo;;NULL
agit.0igxo.KOMUNE;agitiĝo;;NULL
agit.0isto;agitisto;;NULL
agit.0isto.POL;agitisto;;NULL
agitator.0o;agitatoro;;NULL
agitator.0o.POL;agitatoro;;NULL
agl.blankkola_mar0o;blankkola maraglo;;NULL
agl.blankvosta_mar0o;blankvosta maraglo;;NULL
agl.bot0o;botaglo;;NULL
agl.eta_kri0o;eta kriaglo;;NULL
agl.granda_kri0o;granda kriaglo;;NULL
agl.ipmeria0o;imperia aglo;;NULL
agl.malgranda_kri0o;malgranda kriaglo;;NULL
agl.niz0o;nizaglo;;NULL
agl.ora0o;ora aglo;;NULL
agl.rab0o;rabaglo;;NULL
agl.regxa0o;reĝa aglo;;NULL
agl.serpent0o;serpentaglo;;NULL
agl.step0o;stepaglo;;NULL
aglome.0ajxo;aglomeraĵo;;NULL
aglome.0ajxo.MIN;aglomeraĵo;1;NULL
aglome.0ajxo.urbego;aglomeraĵo;2;NULL
agluti.0a;aglutina;;NULL
agluti.0i;aglutini;;NULL
aglutinogen.0o;aglutinogeno;;NULL
aglutinogen.0o.FIZL;aglutinogeno;;NULL
agnat.0eco;agnateco;;NULL
agnat.0eco.GEN;agnateco;;NULL
agnosk.0inda;agnoskinda;;NULL
agnosk.0inda.KOMUNE;agnoskinda;;NULL
agnosk.0o;agnosko;;NULL
agnosk.0o.KOMUNE;agnosko;;NULL
agnosk.mal0i;malagnoski;;NULL
agnosk.mal0i.KOMUNE;malagnoski;;NULL
agnost.0a;agnostika;;NULL
agnost.0a.FIL;agnostika;;NULL
agnost.0ulo;agnostikulo;;NULL
agnost.0ulo.FIL;agnostikulo;;NULL
agord.0i;agordi;;NULL
agord.0ilo;agordilo;;NULL
agord.0ilo.parto;agordilo;2;NULL
agord.0o;agordo;;NULL
agord.0o.ajxo;agordo;2;NULL
agord.anim0o;animagordo;;NULL
agord.anim0o.PSI;animagordo;;NULL
agord.mis0a;misagorda;;NULL
agord.mis0a;malagordita;;NULL
agord.mis0a.MUZ;misagorda;;NULL
agord.mis0a.MUZ;malagordita;;NULL
agrabl.0ajxo;agrablaĵo;;NULL
agrabl.0ajxo.KOMUNE;agrablaĵo;;NULL
agrabl.mal0ajxo;malagrablaĵo;;NULL
agrabl.mal0ajxo.KOMUNE;malagrablaĵo;;NULL
agraf.0i;agrafi;;NULL
agraf.0o;agrafo;;NULL
agraf.mal0i;malagrafi;;NULL
agres.0emo;agresemo;;NULL
agres.0o;agreso;;NULL
agriku.0isto;agrikulturisto;;NULL
agriku.0isto.AGR;agrikulturisto;;NULL
agx.0i;aĝi;;NULL
agx.0i.KOMUNE;aĝi;;NULL
agx.flor0o;floraĝo;;NULL
agx.flor0o.KOMUNE;floraĝo;;NULL
agx.grand0ulo;grandaĝulo;;NULL
agx.grand0ulo.KOMUNE;grandaĝulo;;NULL
agx.jun0o;junaĝo;;NULL
agx.jun0o.KOMUNE;junaĝo;;NULL
agx.mond0o;mondaĝo;;NULL
agx.mond0o;mondaĝoj;;NULL
agx.mond0o.BIB;mondaĝo;;NULL
agx.mond0o.BIB;mondaĝoj;;NULL
agx.plej0ulo;plejaĝulo;;NULL
agx.plej0ulo.POL;plejaĝulo;;NULL
agx.pli0ulo;pliaĝulo;;NULL
agx.pli0ulo.POL;pliaĝulo;;NULL
agx.profund0ulo;profundaĝulo;;NULL
agx.profund0ulo.KOMUNE;profundaĝulo;;NULL
agx.temp0o;tempaĝo;;NULL
agx.temp0o.KAL;tempaĝo;;NULL
agxiot.0ado;aĝiotado;;NULL
agxiot.0i;aĝioti;;NULL
agxiot.0isto;aĝiotisto;;NULL
aha.0;aha;;NULL
aha.0.ekscio;aha;;NULL
ahmadabad.0o;Ahmadabado;;NULL
ahmadabad.0o.urbo;Ahmadabado;;NULL
ahmadism.0o;Ahmadismo;;NULL
ahmadism.0o.ISL;Ahmadismo;;NULL
ahx.0;aĥ;;NULL
ahx.0;ah;;NULL
ahx.0.malaprobo;aĥ;2;NULL
ahx.0.malaprobo;ah;2;NULL
ahx.0i;aĥi;;NULL
ahx.0i.KOMUNE;aĥi;;NULL
ahxil.0o;Aĥilo;;NULL
ahxil.0o.NOM;Aĥilo;1;NULL
ahxil.0o.PERS;Aĥilo;2;NULL
ain.0a;ajnua;;NULL
ain.0a;aina;;NULL
ain.0a.ETN;ajnua;1;NULL
ain.0a.ETN;aina;1;NULL
aj.0;aj;;NULL
aj.0;aŭ;;NULL
aj.0.ve;aj;;NULL
aj.0.ve;aŭ;;NULL
ajatol.0o;ajatolo;;NULL
ajatol.0o;ajatolaho;;NULL
ajatol.0o.ISL;ajatolo;;NULL
ajatol.0o.ISL;ajatolaho;;NULL
ajgen.0a;ajgena;;NULL
ajgen.0a.skalaro;ajgena;1;NULL
ajgen.0a.subspaco;ajgena;2;NULL
ajgen.0a.vektoro;ajgena;3;NULL
ajgen.0o;ajgeno;;NULL
ajgen.0subspaco;ajgensubspaco;;NULL
ajgen.0subspaco;ajgenspaco;;NULL
ajgen.0valoro;ajgenvaloro;;NULL
ajgen.0vektoro;ajgenvektoro;;NULL
ajl.0o;ajlo;;NULL
ajl.0o.bulbo;ajlo;3;NULL
ajl.urs0o;ursajlo;;NULL
ajl.urs0o;ursa ajlo;;NULL
ajmar.0a;ajmara;;NULL
ajn.0ulo;ajnulo;;NULL
ajn.0ulo;Ajnulo;;NULL
ajn.0ulo.FRAZ;ajnulo;;NULL
ajn.0ulo.FRAZ;Ajnulo;;NULL
ajn.sen0a;sen ajna;;NULL
ajn.sen0a;sen ia ajn;;NULL
ajx.0;-aĵ;;ekz_25
ajx.0.kun_adj;-aĵ;1;ekz_25
ajx.0.kun_subst;-aĵ;3;ekz_25
ajx.0.kun_verbo;-aĵ;2;ekz_25
akaci.sxajn0o;ŝajnakacio;;NULL
akadem.0ano;akademiano;;NULL
akadem.0o;akademio;;NULL
akadem.0o.lernejo;akademio;2;NULL
akadem.0odeesperanto;Akademio de Esperanto;;NULL
akadem.0odeesperanto.ESP;Akademio de Esperanto;;NULL
akajxu.0o;akaĵuo;;NULL
akajxu.0o.flortigo;akaĵuo;1;NULL
akajxu.0o.nukso;akaĵuo;2;NULL
akar.0oj;akaroj;;NULL
akar.0oj.ZOO;akaroj;;NULL
akcel.0ilo;akcelilo;;NULL
akcelometr.0o;akcelometro;;NULL
akcent.0i;akcenti;;NULL
akcent.0o;akcento;;NULL
akcent.0o.akcxento;akcento;3;NULL
akcept.0ebla;akceptebla;;NULL
akcept.0ema;akceptema;;NULL
akcept.0i;akcepti;;ekz_23
akcept.0i.opinion;akcepti;4;ekz_23
akcept.0o;akcepto;;NULL
akcept.mal0i;malakcepti;;NULL
akcept.mal0i.MED;malakcepti;2;NULL
akcide.0e;akcidente;;NULL
akcide.0o;akcidento;;oa_2
akcide.0o.FIL;akcidento;2;oa_2
akcipi1.0oj;akcipitredoj;;NULL
akcipi1.0oj.ZOO;akcipitredoj;;NULL
aken.0o;Akeno;;NULL
aken.0o;Aĥeno;;NULL
akir.0ebla;akirebla;;NULL
akir.0o;akiro;;NULL
akir.cxas0i;ĉasakiri;;NULL
akir.cxas0i.CXAS;ĉasakiri;;NULL
akir.cxas0o;ĉasakiro;;NULL
akir.milit0o;militakiro;;NULL
akj.0o;akjo;;NULL
aklimatiz.0i;aklimatizi;;NULL
aklimatiz.0i.HOR;aklimatizi;;NULL
akme.0o;akmeo;;NULL
akme.0o.FIG;akmeo;2;NULL
akme.0o.MED;akmeo;1;NULL
akn.0o;akno;;NULL
akn.0o.sxvelajxo;akno;1;NULL
akomod.0igxema;akomodiĝema;;NULL
akomod.0igxema.PSI;akomodiĝema;;NULL
akomod.0igxi;akomodiĝi;;NULL
akomod.0igxi.KOMUNE;akomodiĝi;;NULL
akomod.0o;akomodo;;NULL
akompa.0antaro;akompanantaro;;NULL
akompa.0anto;akompananto;;NULL
akompa.0atede;akompanate de;;NULL
akompa.0atede;en akompano de;;NULL
akompa.0e_al;akompane al;;NULL
akord.0a;akorda;;NULL
akord.0a.lauxtakta;akorda;2;NULL
akord.0a.rilata;akorda;1;NULL
akord.0ekun;akorde kun;;NULL
akord.0ekun;akorde al;;NULL
akord.0ekun.KOMUNE;akorde kun;;NULL
akord.0ekun.KOMUNE;akorde al;;NULL
akord.0igebla;akordigebla;;NULL
akord.0igebla.KOMUNE;akordigebla;;NULL
akord.0igi;akordigi;;NULL
akord.0igxi;akordiĝi;;NULL
akord.0igxi.ekesti;akordiĝi;;NULL
akord.0o;akordo;;NULL
akord.0o.GRA;akordo;5;NULL
akord.0o.JUR;akordo;4;NULL
akord.0o.konveneco;akordo;1;NULL
akord.0o.samopinieco;akordo;2;NULL
akord.inter0o;interakordo;;NULL
akord.inter0o.JUR;interakordo;3;NULL
