# mrk	kap	num	dos	ind	trd
c.0	co		oa_7	NULL	NULL
cxiam.por0e	porĉiame		NULL	für immer	
cxiam.por0e	porĉiame		NULL	ewig	
cxiam.por0e.KOMUNE	porĉiame		NULL	für immer	
cxiam.por0e.KOMUNE	porĉiame		NULL	ewig	
cxibuk.0o	ĉibuko		NULL	Tschibuk	
cxibuk.0o.FUM	ĉibuko		NULL	Tschibuk	
cxicxe.0o	ĉiĉerono		NULL	Fremdenführer	
cxicxe.0o	ĉiĉerono		NULL	Reiseführer	
cxicxe.0o	ĉiĉerono		NULL	Reiseleiter	
cxicximek.0a	ĉiĉimeka		NULL	NULL	NULL
cxicximek.0a.ETN	ĉiĉimeka		NULL	NULL	NULL
cxicximek.0o	ĉiĉimeko		NULL	Chichimeke	
cxicximek.0o.ETN	ĉiĉimeko		NULL	Chichimeke	
cxie.0	ĉie		uv_C	überall	
cxie.0.KOMUNE	ĉie		uv_C	überall	
cxie.0a	ĉiea		NULL	NULL	NULL
cxie.0afunkcio	ĉiea funkcio		NULL	NULL	NULL
cxie.0n	ĉien		NULL	überallhin	
cxie.preskaux0	preskaŭ ĉie		NULL	NULL	NULL
cxie.preskaux0.MAT	preskaŭ ĉie		NULL	fast überall	
cxiel.0	ĉiel		uv_C	NULL	NULL
cxiel1.0asfero	ĉiela sfero		NULL	NULL	NULL
cxiel1.0asfero.ARK	ĉiela sfero	2	NULL	NULL	NULL
cxiel1.0asfero.AST	ĉiela sfero	1	NULL	NULL	NULL
cxiel1.0enpreno	Ĉielenpreno		NULL	NULL	NULL
cxiel1.0enpreno.KATfesto	Ĉielenpreno	2	NULL	NULL	NULL
cxiel1.0enpreno.dogmo	Ĉielenpreno	1	NULL	NULL	NULL
cxiel1.0iro	ĉieliro		uv_C	NULL	NULL
cxiel1.0iro.festo	ĉieliro		uv_C	NULL	NULL
cxiel1.0iro.miraklo	ĉieliro		uv_C	Himmelfahrt	
cxiel1.0o	ĉielo		uv_C	Himmel	
cxiel1.0o	ĉielo		akkor_en	Himmel	
cxiel1.0o	ĉielo		ekz_6	Himmel	
cxiel1.0o.AST	ĉielo	1	uv_C	Himmel	
cxiel1.0o.AST	ĉielo	1	akkor_en	Himmel	
cxiel1.0o.AST	ĉielo	1	ekz_6	Himmel	
cxiel1.0o.angxelejo	ĉielo	2	uv_C	Himmel	
cxiel1.0o.angxelejo	ĉielo	2	akkor_en	Himmel	
cxiel1.0o.angxelejo	ĉielo	2	ekz_6	Himmel	
cxiel1.0o.dio	ĉielo	3	uv_C	Himmel	
cxiel1.0o.dio	ĉielo	3	akkor_en	Himmel	
cxiel1.0o.dio	ĉielo	3	ekz_6	Himmel	
cxiel1.0osfero	ĉielosfero		NULL	NULL	NULL
cxiel1.0osfero	ĉielsfero		NULL	NULL	NULL
cxiel1.0osfero.AST	ĉielosfero		NULL	NULL	NULL
cxiel1.0osfero.AST	ĉielsfero		NULL	NULL	NULL
cxiel1.Cx0iro	Ĉieliro		NULL	Himmelfahrt	(Christi) Himmelfahrt
cxiel1.sublibera0o	sub libera ĉielo		NULL	Himmel	unter freiem Himmel
cxiel1.sublibera0o.KOMUNE	sub libera ĉielo		NULL	Himmel	unter freiem Himmel
cxies.0	ĉies		ekz_30	jedes	
cxies.0	ĉies		ekz_30	jedermanns	
cxies.0	ĉies		ekz_30	von jedem	
cxies.0ulino	ĉiesulino		NULL	Prostituierte	
cxif.0ajxo	ĉifaĵo		NULL	Zerknittertes	
cxif.0ajxo	ĉifaĵo		NULL	Zerknülltes	
cxif.0i	ĉifi		NULL	zerknittern	
cxif.0i	ĉifi		NULL	zerknüllen	
cxif.ne0ebla	neĉifebla		NULL	knitterfrei	
cxifcxaf.0o	ĉifĉafo		NULL	Zilpzalp	
cxifcxaf.0o	ĉifĉafo		NULL	Weidenlaubsänger	
cxifon.0figuro	ĉifonfiguro		NULL	Vogelscheuche	
cxifon.0figuro.HOR	ĉifonfiguro		NULL	Vogelscheuche	
cxifon.0isto	ĉifonisto		NULL	Lumpensammler	
cxifon.0isto.MET	ĉifonisto		NULL	Lumpensammler	
cxifon.0o	ĉifono		NULL	Lumpen	
cxifon.0o	ĉifono		NULL	Lappen	
cxifon.0o	ĉifono		NULL	Fetzen	
cxifon.0o.FIG	ĉifono	2	NULL	Lumpen	
cxifon.0o.FIG	ĉifono	2	NULL	Lappen	
cxifon.0o.FIG	ĉifono	2	NULL	Fetzen	
cxifon.0o.TEKS	ĉifono	1	NULL	Lumpen	
cxifon.0o.TEKS	ĉifono	1	NULL	Lappen	
cxifon.0o.TEKS	ĉifono	1	NULL	Fetzen	
cxifon.0ulo	ĉifonulo		NULL	zerlumpter Kerl	
cxifon.0ulo	ĉifonulo		NULL	Gassenjunge	
cxifon.0ulo	ĉifonulo		NULL	Vogelscheuche	
cxifon.0ulo.KOMUNE	ĉifonulo		NULL	zerlumpter Kerl	
cxifon.0ulo.KOMUNE	ĉifonulo		NULL	Gassenjunge	
cxifon.0ulo.KOMUNE	ĉifonulo		NULL	Vogelscheuche	
cxifr.0i	ĉifri		NULL	verschlüsseln	
cxifr.0i	ĉifri		NULL	chiffrieren	
cxifr.0i	ĉifri		NULL	kodieren	
cxifr.0o	ĉifro		NULL	Chiffre	
cxifr.0o	ĉifro		NULL	Verschlüsselung	
cxifr.mal0i	malĉifri		NULL	entschlüsseln	
cxifr.mal0i	malĉifri		NULL	dechiffrieren	
cxifr.mal0i	malĉifri		NULL	dekodieren	
cxigong.0o	ĉigongo		NULL	Qigong	
cxikan.0ema	ĉikanema		NULL	mäklig	
cxikan.0ema	ĉikanema		NULL	streitsüchtig	
cxikan.0ema	ĉikanema		NULL	schikanös	
cxikan.0ema.KOMUNE	ĉikanema		NULL	mäklig	
cxikan.0ema.KOMUNE	ĉikanema		NULL	streitsüchtig	
cxikan.0ema.KOMUNE	ĉikanema		NULL	schikanös	
cxikan.0i	ĉikani		NULL	NULL	NULL
cxikan.0i.gxeni	ĉikani	1	NULL	schikanieren	
cxikan.0i.gxeni	ĉikani	1	NULL	mobben	
cxikan.0i.harfendi	ĉikani	2	NULL	bekritteln	
cxikan.0i.harfendi	ĉikani	2	NULL	bemäkeln	
cxikan.0i.harfendi	ĉikani	2	NULL	herumkritteln	
cxili.CX0o	Ĉilio		NULL	Chile	
cximpa.0o	ĉimpanzo		oa_9	Schimpanse	
cximpa.0o.genro	ĉimpanzo	1	oa_9	Schimpanse	
cximpa.0o.specio	ĉimpanzo	2	oa_9	Schimpanse	
cximpa.malgranda0o	malgranda ĉimpanzo		NULL	Zwergschimpanse	
cximpa.malgranda0o	malgranda ĉimpanzo		NULL	Bonobo	
cximpa.malgranda0o.ZOO	malgranda ĉimpanzo		NULL	Zwergschimpanse	
cximpa.malgranda0o.ZOO	malgranda ĉimpanzo		NULL	Bonobo	
cxin.0a	ĉina		NULL	chinesisch	
cxin.0o	ĉino		oa_9	NULL	NULL
cxincxil.0o	ĉinĉilo		NULL	Chinchilla	
cxincxil.0o.ZOO	ĉinĉilo		NULL	Chinchilla	
cxinesk.0o	ĉinesko		NULL	Chinoiserie	
cxinesk.0o.POE	ĉinesko		NULL	Chinoiserie	
cxingis.0hxano	Ĉingisĥano		NULL	Dschingis Khan	
cxingis.0ido	Ĉingisido		NULL	NULL	NULL
cxingis.0o	Ĉingiso		NULL	Dschingis	
cxingis.0o	Ĝingiso		NULL	Dschingis	
cxingis.0o.antauxnomo	Ĉingiso		NULL	Dschingis	
cxingis.0o.antauxnomo	Ĝingiso		NULL	Dschingis	
cxini.0o	Ĉinio		NULL	China	
cxinologi.0o	ĉinologio		NULL	NULL	NULL
cxinologi.0o.KOMUNE	ĉinologio		NULL	NULL	NULL
cxio.0	ĉio		ekz_12	alles	
cxio.0	ĉio		uv_C	alles	
cxiom.0	ĉiom		ekz_30	reichst du ihm den kleinen Finger, nimmt er die ganze Hand	
cxiom.0	ĉiom		ekz_30	alles	
cxiom.0	ĉiom		ekz_30	ganz und gar	
cxiom.0a	ĉioma		NULL	gänzlich	
cxip.0a	ĉipa		NULL	billig	
cxip.0a.EKON	ĉipa		NULL	billig	
cxips.0o	ĉipso		NULL	Chip	
cxir.0o	ĉiro		NULL	Ranke	
cxir.0o	ĉiro		NULL	Cirrhus	
cxirka.0	ĉirkaŭ		uv_C	NULL	NULL
cxirka.0.metisin0	ĉirkaŭ	1	uv_C	umgeben	
cxirka.0.pref_plene	ĉirkaŭ	1	uv_C	NULL	NULL
cxirka.0.pref_preter	ĉirkaŭ	2	uv_C	NULL	NULL
cxirka.0.proksimume	ĉirkaŭ	1	uv_C	etwa	
cxirka.0.proksimume	ĉirkaŭ	1	uv_C	circa	
cxirka.0.space	ĉirkaŭ	1	uv_C	um	
cxirka.0.tempe	ĉirkaŭ	2	uv_C	um	
cxirka.0a	ĉirkaŭa		NULL	NULL	NULL
cxirka.0ajxo	ĉirkaŭaĵo		uv_C	Umgebung	
cxirka.0ajxo.KOMUNE	ĉirkaŭaĵo	1	uv_C	Umgebung	
cxirka.0ajxo.topologio	ĉirkaŭaĵo	2	uv_C	Umgebung	
cxirka.0e	ĉirkaŭe		NULL	NULL	NULL
cxirka.0e.proksimume	ĉirkaŭe	2	NULL	etwa	
cxirka.0e.proksimume	ĉirkaŭe	2	NULL	ungefähr	
cxirka.0e.space	ĉirkaŭe	1	NULL	ringsum	
cxirka.0e.space	ĉirkaŭe	1	NULL	ringsumher	
cxirka.0ede	ĉirkaŭe de		NULL	in der Umgebung von	
cxirka.0ejo	ĉirkaŭejo		NULL	NULL	NULL
cxirka.0i	ĉirkaŭi		uv_C	NULL	NULL
cxirka.0i.0igi	ĉirkaŭi	2	uv_C	NULL	NULL
cxirka.0igi	ĉirkaŭigi		NULL	umgeben	
cxirka.0o	ĉirkaŭo		uv_C	NULL	NULL
cxirka.0o.cirkonferenco	ĉirkaŭo	1	uv_C	NULL	NULL
cxirka.0o.cxio0a	ĉirkaŭo	2	uv_C	NULL	NULL
cxirka.0umi	ĉirkaŭumi		NULL	NULL	NULL
cxirka.0umi.MIL	ĉirkaŭumi		NULL	umzingeln	
cxirka.0umi.MIL	ĉirkaŭumi		NULL	einkreisen	
cxirka.0umo	ĉirkaŭumo		NULL	NULL	NULL
cxirka.0umo.GEOM	ĉirkaŭumo	2	NULL	NULL	NULL
cxirka.0umo.MIL	ĉirkaŭumo	1	NULL	Einkreisung	
cxirka.0umo.MIL	ĉirkaŭumo	1	NULL	Umzingelung	
cxirka.al0	al ĉirkaŭ		NULL	NULL	NULL
cxirka.al0	ĉirkaŭ ...-n		NULL	NULL	NULL
cxirka.de0	de ĉirkaŭ		NULL	NULL	NULL
cxirp.0	ĉirp		NULL	zirp	
cxirp.0	ĉirp		NULL	tschilp	
cxirp.0.KOMUNE	ĉirp		NULL	zirp	
cxirp.0.KOMUNE	ĉirp		NULL	tschilp	
cxirp.0i	ĉirpi		NULL	NULL	NULL
cxirp.0i.soni	ĉirpi	1	NULL	zirpen	
cxirp.0i.soni	ĉirpi	1	NULL	tschilpen	
cxirp.0i.sonigi	ĉirpi	2	NULL	NULL	NULL
cxit.0	ĉit		NULL	NULL	NULL
cxit.0.silentu	ĉit		NULL	NULL	NULL
cxitagong.0o	Ĉitagongo		NULL	Chittagong	
cxiu.0	ĉiu		uv_C	jeder	
cxiu.0	ĉiu		ekz_10	jeder	
cxiu.0	ĉiu		ekz_10	jeder	
cxiu.0	ĉiu		uv_C	jeder	
cxiu.0	ĉiu		akkor_de	jeder	
cxiu.0	ĉiuj		uv_C	jeder	
cxiu.0	ĉiuj		ekz_10	jeder	
cxiu.0	ĉiuj		ekz_10	jeder	
cxiu.0	ĉiuj		uv_C	jeder	
cxiu.0	ĉiuj		akkor_de	jeder	
cxiu.0.ampleksa_adj	ĉiu	2	uv_C	jeder	
cxiu.0.ampleksa_adj	ĉiu	2	ekz_10	jeder	
cxiu.0.ampleksa_adj	ĉiu	2	ekz_10	jeder	
cxiu.0.ampleksa_adj	ĉiu	2	uv_C	jeder	
cxiu.0.ampleksa_adj	ĉiu	2	akkor_de	jeder	
cxiu.0.ampleksa_adj	ĉiuj	2	uv_C	jeder	
cxiu.0.ampleksa_adj	ĉiuj	2	ekz_10	jeder	
cxiu.0.ampleksa_adj	ĉiuj	2	ekz_10	jeder	
cxiu.0.ampleksa_adj	ĉiuj	2	uv_C	jeder	
cxiu.0.ampleksa_adj	ĉiuj	2	akkor_de	jeder	
cxiu.0.ampleksa_pron	ĉiu	1	uv_C	jeder	
cxiu.0.ampleksa_pron	ĉiu	1	ekz_10	jeder	
cxiu.0.ampleksa_pron	ĉiu	1	ekz_10	jeder	
cxiu.0.ampleksa_pron	ĉiu	1	uv_C	jeder	
cxiu.0.ampleksa_pron	ĉiu	1	akkor_de	jeder	
cxiu.0.ampleksa_pron	ĉiuj	1	uv_C	jeder	
cxiu.0.ampleksa_pron	ĉiuj	1	ekz_10	jeder	
cxiu.0.ampleksa_pron	ĉiuj	1	ekz_10	jeder	
cxiu.0.ampleksa_pron	ĉiuj	1	uv_C	jeder	
cxiu.0.ampleksa_pron	ĉiuj	1	akkor_de	jeder	
cxiu.0.apartiga_adj	ĉiu	4	uv_C	jeder	
cxiu.0.apartiga_adj	ĉiu	4	ekz_10	jeder	
cxiu.0.apartiga_adj	ĉiu	4	ekz_10	jeder	
cxiu.0.apartiga_adj	ĉiu	4	uv_C	jeder	
cxiu.0.apartiga_adj	ĉiu	4	akkor_de	jeder	
cxiu.0.apartiga_adj	ĉiuj	4	uv_C	jeder	
cxiu.0.apartiga_adj	ĉiuj	4	ekz_10	jeder	
cxiu.0.apartiga_adj	ĉiuj	4	ekz_10	jeder	
cxiu.0.apartiga_adj	ĉiuj	4	uv_C	jeder	
cxiu.0.apartiga_adj	ĉiuj	4	akkor_de	jeder	
cxiu.0.apartiga_pron	ĉiu	3	uv_C	jeder	
cxiu.0.apartiga_pron	ĉiu	3	ekz_10	jeder	
cxiu.0.apartiga_pron	ĉiu	3	ekz_10	jeder	
cxiu.0.apartiga_pron	ĉiu	3	uv_C	jeder	
cxiu.0.apartiga_pron	ĉiu	3	akkor_de	jeder	
cxiu.0.apartiga_pron	ĉiuj	3	uv_C	jeder	
cxiu.0.apartiga_pron	ĉiuj	3	ekz_10	jeder	
cxiu.0.apartiga_pron	ĉiuj	3	ekz_10	jeder	
cxiu.0.apartiga_pron	ĉiuj	3	uv_C	jeder	
cxiu.0.apartiga_pron	ĉiuj	3	akkor_de	jeder	
cxiu.preskaux0j	preskaŭ ĉiuj		NULL	NULL	NULL
cxiu.preskaux0j.MAT	preskaŭ ĉiuj		NULL	fast alle	
cxiz.0i	ĉizi		NULL	meißeln	
cxiz.0i.BELA	ĉizi	1	NULL	meißeln	
cxiz.0i.BELE	ĉizi	2	NULL	meißeln	
cxiz.0ileto	ĉizileto		NULL	NULL	NULL
cxiz.0ileto.TEK	ĉizileto		NULL	NULL	NULL
cxiz.0ilo	ĉizilo		NULL	Meißel	
cxiz.0ilo.TEK	ĉizilo		NULL	Meißel	
cxiz.CX0ilo	Ĉizilo		NULL	Grabstichel	
cxiz.CX0ilo.AST	Ĉizilo		NULL	Grabstichel	
cxiz.cxirkaux0i	ĉirkaŭĉizi		NULL	NULL	NULL
cxiz.cxirkaux0i.TEK	ĉirkaŭĉizi		NULL	NULL	NULL
cxiz.sxton0isto	ŝtonĉizisto		NULL	NULL	NULL
cxiz.sxton0isto.TEK	ŝtonĉizisto		NULL	NULL	NULL
cxj.0	-ĉj		NULL	NULL	NULL
cxj.av0o	avĉjo		NULL	Opa	
cxj.av0o.KOMUNE	avĉjo		NULL	Opa	
cxj.fil0o	filĉjo		NULL	NULL	NULL
cxj.fil0o.KOMUNE	filĉjo		NULL	NULL	NULL
cxj.fra0o	fraĉjo		NULL	NULL	NULL
cxj.fra0o.KOMUNE	fraĉjo		NULL	NULL	NULL
cxj.i0o	iĉjo		NULL	NULL	NULL
cxj.i0o.ino	iĉjo		NULL	NULL	NULL
cxj.o0o	oĉjo		NULL	NULL	NULL
cxj.o0o.KOMUNE	oĉjo		NULL	NULL	NULL
cxj.pa0o	paĉjo		NULL	Papa	
cxj.pa0o.KOMUNE	paĉjo		NULL	Papa	
cxokol.trink0o	trinkĉokolado		NULL	Trinkschokolade	
cxongcxing.0o	Ĉongĉingo		NULL	NULL	NULL
cxonmag.0o	ĉonmago		NULL	Chonmage	
cxonmag.0o.KOS	ĉonmago		NULL	Chonmage	
cxot.0o	ĉoto		NULL	Groppe	
cxot.0o	ĉoto		NULL	Koppe	
cxot.0o.ZOO	ĉoto		NULL	Groppe	
cxot.0o.ZOO	ĉoto		NULL	Koppe	
cxoted.0oj	ĉotedoj		NULL	Groppen	
cxu.00	ĉu... ĉu...		NULL	ob ... oder ...	
cxu.00.KOMUNE	ĉu... ĉu...		NULL	ob ... oder ...	
cxukcx.0a	ĉukĉa		NULL	tschuktschisch	
cxukcx.0o	ĉukĉo		NULL	Tschuktsche	
cxukcx.CX0aDuoninsulo	Ĉukĉa Duoninsulo		NULL	Tschuktschen-Halbinsel	
cxur.0i	ĉuri		NULL	NULL	NULL
cxur.0i.FIZL	ĉuri		NULL	wichsen	wichsen (ejakulieren)
cxur.0i.FIZL	ĉuri		NULL	abspritzen	abspritzen (ejakulieren)
cxur.0o	ĉuro		NULL	NULL	NULL
cxur.0o.FIZL	ĉuro		NULL	Wichse	Wichse (Sperma)
cxurask.0o	ĉurasko		NULL	Churrasco	
cxurask.0o.KUI	ĉurasko		NULL	Churrasco	
cxuvasx.0o	ĉuvaŝo		NULL	Tschuwasche	
